data;descricao;valor
06/10/2025;PIX RECEBIDO NORTHWIND LOGISTICA COMERCIO;28393,58
11/10/2025;PIX RECEBIDO ATLAS CLOUD LTDA;35864,77
16/10/2025;PIX RECEBIDO MERIDIAN DESIGN ME;22202,50
21/10/2025;PIX RECEBIDO AURORA VAREJO;45354,32
26/10/2025;PIX RECEBIDO COSTA & FILHOS;18089,61
09/10/2025;PIX RECEBIDO Brightwell Suprimentos Ltda;21755,36
23/10/2025;PIX RECEBIDO CLIENTE EVENTUAL 56;7202,44
19/10/2025;RECEBIMENTO CARTAO STONE VENDAS;11360,86
08/10/2025;BOLETO FORNECEDOR TEXTIL SA;-16042,49
13/10/2025;BOLETO DISTRIBUIDORA SUL LTDA;-14644,30
17/10/2025;BOLETO PAPELARIA UNIAO;-2060,64
05/10/2025;FOLHA DE PAGAMENTO FUNCIONARIOS;-65594,37
05/10/2025;PRO-LABORE SOCIOS;-18000,00
10/10/2025;ALUGUEL IMOBILIARIA CENTRAL;-9500,00
12/10/2025;ENEL DISTRIBUICAO ENERGIA;-1625,77
12/10/2025;VIVO INTERNET FIBRA EMPRESA;-419,90
13/10/2025;SABESP CONTA DE AGUA;-323,97
15/10/2025;AWS AMAZON WEB SERVICES;-1840,00
15/10/2025;OPENAI CHATGPT;-560,00
16/10/2025;ADOBE CREATIVE CLOUD;-320,00
16/10/2025;GOOGLE WORKSPACE;-410,00
17/10/2025;MICROSOFT OFFICE 365;-290,00
17/10/2025;SLACK TECNOLOGIA;-180,00
18/10/2025;FIGMA INC;-240,00
18/10/2025;GITHUB COPILOT;-90,00
20/10/2025;DARF IRPJ;-7622,41
20/10/2025;DAS SIMPLES NACIONAL;-5200,00
07/10/2025;INSS GPS GUIA PREVIDENCIA;-8907,46
07/10/2025;FGTS CONECTIVIDADE SOCIAL;-4879,64
18/10/2025;POSTO SHELL CENTRO ABASTECIMENTO;-1098,16
22/10/2025;GOOGLE ADS CAMPANHA;-3983,41
22/10/2025;META ADS FACEBOOK INSTAGRAM;-1955,64
28/10/2025;TARIFA PACOTE DE SERVICOS BANCARIOS;-89,90
28/10/2025;IOF OPERACOES;-55,29
06/11/2025;PIX RECEBIDO NORTHWIND LOGISTICA COMERCIO;28361,89
11/11/2025;PIX RECEBIDO ATLAS CLOUD COMERCIO;30827,61
16/11/2025;PIX RECEBIDO Meridian Design;22766,37
21/11/2025;PIX RECEBIDO AURORA VAREJO SA;39866,36
26/11/2025;PIX RECEBIDO COSTA E FILHOS LTDA;23041,46
09/11/2025;PIX RECEBIDO BRIGHTWELL SUPRIMENTOS;26838,21
23/11/2025;PIX RECEBIDO CLIENTE EVENTUAL 38;10601,23
19/11/2025;RECEBIMENTO CARTAO STONE VENDAS;11657,58
08/11/2025;BOLETO FORNECEDOR TEXTIL SA;-18488,70
13/11/2025;BOLETO DISTRIBUIDORA SUL LTDA;-14745,64
17/11/2025;BOLETO PAPELARIA UNIAO;-1621,36
05/11/2025;FOLHA DE PAGAMENTO FUNCIONARIOS;-63850,41
05/11/2025;PRO-LABORE SOCIOS;-18000,00
10/11/2025;ALUGUEL IMOBILIARIA CENTRAL;-9500,00
12/11/2025;ENEL DISTRIBUICAO ENERGIA;-2074,64
12/11/2025;VIVO INTERNET FIBRA EMPRESA;-419,90
13/11/2025;SABESP CONTA DE AGUA;-302,43
15/11/2025;AWS AMAZON WEB SERVICES;-1840,00
15/11/2025;OPENAI CHATGPT;-560,00
16/11/2025;ADOBE CREATIVE CLOUD;-320,00
16/11/2025;GOOGLE WORKSPACE;-410,00
17/11/2025;MICROSOFT OFFICE 365;-290,00
17/11/2025;SLACK TECNOLOGIA;-180,00
18/11/2025;FIGMA INC;-240,00
18/11/2025;GITHUB COPILOT;-90,00
20/11/2025;DARF IRPJ;-9103,93
20/11/2025;DAS SIMPLES NACIONAL;-5200,00
07/11/2025;INSS GPS GUIA PREVIDENCIA;-9146,27
07/11/2025;FGTS CONECTIVIDADE SOCIAL;-4921,98
18/11/2025;POSTO SHELL CENTRO ABASTECIMENTO;-1372,91
22/11/2025;GOOGLE ADS CAMPANHA;-3022,47
22/11/2025;META ADS FACEBOOK INSTAGRAM;-3293,55
28/11/2025;TARIFA PACOTE DE SERVICOS BANCARIOS;-89,90
28/11/2025;IOF OPERACOES;-61,61
06/12/2025;PIX RECEBIDO NORTHWIND LOGISTICA COMERCIO;35779,94
11/12/2025;PIX RECEBIDO ATLAS CLOUD LTDA;44211,94
16/12/2025;PIX RECEBIDO MERIDIAN DESIGN ME;36710,02
21/12/2025;PIX RECEBIDO Aurora Varejo Comercio;71469,64
26/12/2025;PIX RECEBIDO COSTA & FILHOS;24954,23
09/12/2025;PIX RECEBIDO BRIGHTWELL SUPRIMENTOS;32400,23
19/12/2025;RECEBIMENTO CARTAO STONE VENDAS;15492,09
08/12/2025;BOLETO FORNECEDOR TEXTIL SA;-20067,14
13/12/2025;BOLETO DISTRIBUIDORA SUL LTDA;-11827,15
17/12/2025;BOLETO PAPELARIA UNIAO;-1804,90
05/12/2025;FOLHA DE PAGAMENTO FUNCIONARIOS;-62366,40
05/12/2025;PRO-LABORE SOCIOS;-18000,00
10/12/2025;ALUGUEL IMOBILIARIA CENTRAL;-9500,00
12/12/2025;ENEL DISTRIBUICAO ENERGIA;-2056,94
12/12/2025;VIVO INTERNET FIBRA EMPRESA;-419,90
13/12/2025;SABESP CONTA DE AGUA;-272,19
15/12/2025;AWS AMAZON WEB SERVICES;-1840,00
15/12/2025;OPENAI CHATGPT;-560,00
16/12/2025;ADOBE CREATIVE CLOUD;-320,00
16/12/2025;GOOGLE WORKSPACE;-410,00
17/12/2025;MICROSOFT OFFICE 365;-290,00
17/12/2025;SLACK TECNOLOGIA;-180,00
18/12/2025;FIGMA INC;-240,00
18/12/2025;GITHUB COPILOT;-90,00
20/12/2025;DARF IRPJ;-7626,51
20/12/2025;DAS SIMPLES NACIONAL;-5200,00
07/12/2025;INSS GPS GUIA PREVIDENCIA;-9137,28
07/12/2025;FGTS CONECTIVIDADE SOCIAL;-5114,74
18/12/2025;POSTO SHELL CENTRO ABASTECIMENTO;-1178,23
22/12/2025;GOOGLE ADS CAMPANHA;-5089,43
22/12/2025;META ADS FACEBOOK INSTAGRAM;-4104,98
28/12/2025;TARIFA PACOTE DE SERVICOS BANCARIOS;-89,90
28/12/2025;IOF OPERACOES;-83,64
25/12/2025;TRANSFERENCIA ENTRE CONTAS PROPRIAS;-20000,00
06/01/2026;PIX RECEBIDO NORTHWIND LOGISTICA LTDA;19689,46
11/01/2026;PIX RECEBIDO ATLAS CLOUD COMERCIO;24626,85
16/01/2026;PIX RECEBIDO MERIDIAN DESIGN ME;15570,41
21/01/2026;PIX RECEBIDO Aurora Varejo Comercio;32750,85
26/01/2026;PIX RECEBIDO COSTA E FILHOS LTDA;11765,11
09/01/2026;PIX RECEBIDO Brightwell Suprimentos Ltda;17479,98
23/01/2026;PIX RECEBIDO CLIENTE EVENTUAL 96;11128,48
19/01/2026;RECEBIMENTO CARTAO STONE VENDAS;8481,04
08/01/2026;BOLETO FORNECEDOR TEXTIL SA;-21822,59
13/01/2026;BOLETO DISTRIBUIDORA SUL LTDA;-12704,16
17/01/2026;BOLETO PAPELARIA UNIAO;-1488,46
05/01/2026;FOLHA DE PAGAMENTO FUNCIONARIOS;-62890,31
05/01/2026;PRO-LABORE SOCIOS;-18000,00
10/01/2026;ALUGUEL IMOBILIARIA CENTRAL;-9500,00
12/01/2026;ENEL DISTRIBUICAO ENERGIA;-1722,71
12/01/2026;VIVO INTERNET FIBRA EMPRESA;-419,90
13/01/2026;SABESP CONTA DE AGUA;-334,41
15/01/2026;AWS AMAZON WEB SERVICES;-1840,00
15/01/2026;OPENAI CHATGPT;-560,00
16/01/2026;ADOBE CREATIVE CLOUD;-320,00
16/01/2026;GOOGLE WORKSPACE;-410,00
17/01/2026;MICROSOFT OFFICE 365;-290,00
17/01/2026;SLACK TECNOLOGIA;-180,00
18/01/2026;FIGMA INC;-240,00
18/01/2026;GITHUB COPILOT;-90,00
20/01/2026;DARF IRPJ;-9354,65
20/01/2026;DAS SIMPLES NACIONAL;-5200,00
07/01/2026;INSS GPS GUIA PREVIDENCIA;-9000,55
